State,Democrat,Republican,Dem_Adv,N,Unknown,Votes
Alabama,36.0,49.6,-13.6,3197,14.399999999999999,9
Alaska,35.9,44.3,-8.4,402,19.799999999999997,3
Arizona,39.8,47.3,-7.5,4325,12.900000000000006,11
Arkansas,41.5,40.8,0.7,2071,17.700000000000003,6
California,48.3,34.6,13.7,16197,17.1,55
Colorado,39.9,45.1,-5.2,3671,15.0,9
Connecticut,49.8,34.4,15.4,2020,15.800000000000004,7
Delaware,50.5,33.1,17.4,540,16.4,3
District of Columbia,79.0,12.7,66.3,416,8.3,3
Florida,43.0,42.3,0.7,9965,14.700000000000003,29
Georgia,40.3,44.3,-4.0,5110,15.400000000000006,16
Hawaii,54.3,28.7,25.6,466,17.000000000000004,4
Idaho,27.5,57.8,-30.3,1336,14.700000000000003,4
Illinois,48.4,35.8,12.6,5888,15.800000000000004,20
Indiana,39.0,45.7,-6.7,4197,15.299999999999997,11
Iowa,43.2,41.4,1.8,2337,15.399999999999999,6
Kansas,34.4,51.3,-16.9,1937,14.299999999999997,6
Kentucky,43.5,43.1,0.4,2898,13.399999999999999,8
Louisiana,40.3,45.1,-4.8,2655,14.600000000000001,8
Maine,43.8,39.4,4.4,1040,16.800000000000004,4
Maryland,54.0,33.8,20.2,3571,12.200000000000003,10
Massachusetts,52.5,33.4,19.1,3583,14.100000000000001,11
Michigan,47.7,36.6,11.1,5056,15.699999999999996,16
Minnesota,48.4,38.2,10.2,3873,13.399999999999999,10
Mississippi,40.1,47.1,-7.0,1763,12.799999999999997,6
Missouri,40.1,44.0,-3.9,3727,15.899999999999999,10
Montana,35.9,49.6,-13.7,1137,14.499999999999993,3
Nebraska,33.1,52.1,-19.0,1351,14.800000000000004,5
Nevada,39.2,43.4,-4.2,1348,17.4,6
New Hampshire,42.3,43.8,-1.5,873,13.900000000000006,4
New Jersey,47.4,35.9,11.5,4239,16.700000000000003,14
New Mexico,44.7,41.1,3.6,1555,14.199999999999996,5
New York,52.0,30.8,21.2,8674,17.2,29
North Carolina,43.4,43.2,0.2,6213,13.399999999999999,15
North Dakota,35.8,49.0,-13.2,547,15.200000000000003,3
Ohio,44.1,40.5,3.6,6426,15.399999999999999,18
Oklahoma,38.6,48.0,-9.4,2583,13.399999999999999,7
Oregon,47.2,39.1,8.1,3002,13.699999999999996,7
Pennsylvania,46.4,41.2,5.2,8443,12.399999999999999,20
Rhode Island,52.5,26.5,26.0,623,21.0,4
South Carolina,36.9,48.8,-11.9,2858,14.300000000000004,9
South Dakota,41.5,47.5,-6.0,607,11.0,3
Tennessee,38.1,46.5,-8.4,4231,15.399999999999999,11
Texas,38.3,44.1,-5.8,11325,17.6,38
Utah,24.5,63.8,-39.3,2256,11.700000000000003,6
Vermont,48.8,34.9,13.9,550,16.300000000000004,3
Virginia,41.2,44.2,-3.0,5313,14.599999999999994,13
Washington,47.5,37.7,9.8,5333,14.799999999999997,12
West Virginia,45.3,41.9,3.4,1202,12.800000000000004,5
Wisconsin,45.0,42.2,2.8,4140,12.799999999999997,10
Wyoming,26.7,56.6,-29.9,600,16.699999999999996,3
